The Shining,Jack Nicholson
The Blue Lagoon,Brooke Shields
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill
Airplane!,Robert Hays
Caddyshack,Chevy Chase
Friday the 13th,Betsy Palmer
The Blues Brothers,John Belushi
Raging Bull,Robert De Niro
Superman II,Gene Hackman
The Long Riders,David Carradine
Any Which Way You Can,Clint Eastwood
The Gods Must Be Crazy,N!xau
Popeye,Robin Williams
Ordinary People,Donald Sutherland
Dressed to Kill,Michael Caine
Somewhere in Time,Christopher Reeve
Fame,Eddie Barth
9 to 5,Jane Fonda
The Fog,Adrienne Barbeau
Stir Crazy,Gene Wilder
Cruising,Al Pacino
Heaven's Gate,Kris Kristofferson
The Final Countdown,Kirk Douglas
Xanadu,Olivia Newton-John
Urban Cowboy,John Travolta
Altered States,William Hurt
Little Darlings,Tatum O'Neal
Raise the Titanic,Jason Robards
Brubaker,Robert Redford
American Gigolo,Richard Gere
My Bodyguard,Chris Makepeace
Prom Night,Leslie Nielsen
Smokey and the Bandit II,Burt Reynolds
Cattle Annie and Little Britches,Scott Glenn
Seems Like Old Times,Goldie Hawn
Private Benjamin,Goldie Hawn
The Hollywood Knights,Tony Danza
Motel Hell,Rory Calhoun
The Jazz Singer,Laurence Olivier
Coal Miner's Daughter,Sissy Spacek
The Watcher in the Woods,Bette Davis
Breaker Morant,Edward Woodward
The Stunt Man,Peter O'Toole
Where the Buffalo Roam,Peter Boyle
The Awakening,Charlton Heston
Cheech and Chong's Next Movie,Cheech Marin
The Island,Michael Caine
The Boogey Man,Suzanna Love
The Nude Bomb,Don Adams
Lion of the Desert,Anthony Quinn
Stardust Memories,Woody Allen
Melvin and Howard,Paul Le Mat
Can't Stop the Music,Ray Simpson
Bronco Billy,Clint Eastwood
City of Women,Marcello Mastroianni
The Private Eyes,Tim Conway
When Time Ran Out...,Paul Newman
Oh Heavenly Dog,Chevy Chase
The Octagon,Chuck Norris
Hangar 18,Darren McGavin
Herbie Goes Bananas,Charles Martin Smith
The Competition,Richard Dreyfuss
It's My Turn,Jill Clayburgh
Honeysuckle Rose,Willie Nelson
Resurrection,Ellen Burstyn
Fatso,Dom DeLuise
Moscow Does Not Believe in Tears,Vera Alentova
The Fiendish Plot of Dr. Fu Manchu,Peter Sellers
Serial,Martin Mull
Hero at Large,John Ritter
Wholly Moses!,Dudley Moore
"Bon Voyage,Charles M. Schulz
In God We Trust (or Gimme That Prime Time Religion),Marty Feldman
Roadie,Meat Loaf
Just Tell Me What You Want,Ali MacGraw
The Last Flight of Noah's Ark,Elliott Gould
Little Miss Marker,Walter Matthau
Willie & Phil,Michael Ontkean
Babylon,United Kingdom
Windwalker,Trevor Howard
Phobia,Paul Michael Glaser
Windows,Talia Shire
Loving Couples,Shirley MacLaine
The King and the Mockingbird,Jean Martin
"Oh,Josh Greenfeld
